Company Name,Company Type,Industry Sector,Description ,Area,Location,Website,LinkedIn Profile,Employees
Accuronix Therapeutics,Research & Development,Cancer/Oncology,"Startup developing novel cancer therapies, with a focus on pancreatic cancer.",St. Louis City,"4340 Duncan Ave # 210
Saint Louis, MO, 63110-1110",https://builtin.com/companies/location/st-louis/type/biotech-companies,,2-10
Aclaris Therapeutics (R&D),,Pharmaceutical,,,"4340 Duncan Ave
Suite 400
Saint Louis, MO, 63110-1110",https://www.aclaristx.com/,https://www.linkedin.com/company/aclaris-therapeutics-inc-,11-50
Aferna,,Agriculture,,,"1100 Corporate Square Dr.
Suite 175
Saint Louis, MO 63132
United States",https://www.afernabio.com/,https://www.linkedin.com/company/aferna,11-50
Agragene,,Agriculture,,,"1100 Corporate Square Dr.
Suite 264
Saint Louis, MO 63132",https://www.agragene.com/,https://www.linkedin.com/company/agragene-inc,11-50
Agrela Ecosystems,,AgTech,,,"1100 Corporate Square Dr.
Suite 210
St Louis, Missouri 63132, US",https://www.agrelaeco.com/,https://www.linkedin.com/company/agrela-ecosystems,2-10
Agxelerators,,Agriculture,,,"877 N East St. #304, Indianapolis, IN 46202",https://agxelerators.com/,https://www.linkedin.com/company/agxelerators,2-10
AirSeal Cardiovascular ,,,,,,,,
Allied Blending LP,,(NOT Biotech) Food Ingredients,,,,https://www.alliedblending.com,https://www.linkedin.com/company/allied-blending-lp,
Amplifi Vascular,,Biotechnology,,,"743 Spirit 40 Park Dr.
Chesterfield, MO 63005
Suite #237",https://amplifivascular.com/,https://www.linkedin.com/company/amplifi-vascular-inc,11-50
Apertus Pharmaceuticals,,Pharmaceutical,,,"331 Consort Dr.
St. Louis, MO 63011, US",https://apertuspharma.com/,https://www.linkedin.com/company/apertus-pharmaceuticals,
Arch Grain Technologies,,Agriculture,,,"4340 Duncan Avenue Suite #205
Saint Louis, MO 63110",https://www.archgraintechnologies.com/contact,,2-10
Armor Medical,,,,,,,,
ArrayBridge,,Pharmaceutical,,,"4340 Duncan Ave, Suite 222, St. Louis, MO 63110",https://stores.arraybridge.com/,https://www.linkedin.com/company/array-bridge-inc-,2-10
Aurenar,,Wearable Devices (NEURO),,,,https://www.aurenar.com/,https://www.linkedin.com/company/aurenar-inc,2-10
Avadel Pharmaceuticals,,Pharmaceutical,,,"Block 10-1, Blanchardstown Corporate Park
Ballycoolin
Dublin, 15, IE",https://www.avadel.com,https://www.linkedin.com/company/avadel-pharmaceuticals,51-200
Avantor,,,,,,,,
Axioforce,,Sports Technology,,,"341 Conway Hill Road, St. Louis, MO 63141-7239",https://www.axioforce.com/,https://www.linkedin.com/company/axioforce,2-10
BacterioScan,,Medical Devices,,,"2210 Welsch Industrial Ct
St Louis, Missouri 63146, US",https://builtin.com/companies/location/st-louis/type/biotech-companies,https://www.linkedin.com/company/bacterioscan-inc-,11-50
Bausch & Lomb,,,,,,,,
Bayer CropScience,,Agriculture: Pharmaceutical,,,"800 N. Lindbergh Blvd.
St. Louis, MO 63167",https://www.bayer.com,https://www.linkedin.com/company/bayer,10001
Benson Hill,,Agriculture: Food Innovation,,,"1001 North Warson Rd
St Louis, Missouri 63132, US",https://bensonhill.com,https://www.linkedin.com/company/benson-hill,51-200
bioio,,Health Sciences,,,"4340 Duncan Ave
236
St Louis, Missouri 63110, US",https://www.bioio.tech/,https://www.linkedin.com/company/bio-io,2-10
bioMérieux,,Biotech,,,"595 Anglum Rd
Hazelwood, MO 63042, US",https://www.biomerieux.com,https://www.linkedin.com/company/biomerieux,10001
WellSky,,Health Software,,,"11300 Switzer Rd
Overland Park, Kansas 66210, US",https://wellsky.com/,https://www.linkedin.com/company/wellsky,1001-5000
Bond Biosciences,,Pharmaceutical,,,"170 English Landing Dr
Suite 201B
Parkville, Missouri 64152, US",https://bond.bio/,https://www.linkedin.com/company/bond-biosciences,2-10
BRDG Park,,Agriculture: Biotech Incubator,,,"1005 N. Warson Road
Saint Louis, MO 63132, US",https://brdgpark.com,https://www.linkedin.com/company/brdg-park,201-500
Bruker Spatial Biology,,Research Instruments,,,,https://brukerspatialbiology.com/,https://www.linkedin.com/company/bruker-spatial,201-500
C2N Diagnostics,,Diagnostics: Alzheimer’s Research,,,"20 S Sarah St
St Louis, Missouri 63108, US",https://c2n.com/,https://www.linkedin.com/company/c2n-diagnostics,51-200
Cadre Bioscience,,Biotechnology: Oncology,,,"4340 Duncan Ave, St. Louis, MO 63110",https://www.cadrebio.com,https://www.linkedin.com/company/cadre-bioscience,2-10
Canopy Biosciences,,Biotechnology,,,"4340 Duncan Ave, St. Louis, MO 63110",https://www.canopybiosciences.com,https://www.linkedin.com/company/canopy-biosciences,51-200
CapyBio,,Cellular Bio,,,"4340 Duncan Ave, St. Louis, MO 63110",,https://www.linkedin.com/company/capybio,2-10
Cofactor Genomics,,Genomics: Diagnostics,,,"4044 Clayton Ave
Saint Louis, MO 63110, US",https://en.wikipedia.org/wiki/Cofactor_Genomics,https://www.linkedin.com/company/cofactor-genomics,11-50
Confluence Discovery Technologies,,Pharmaceutical: Drug Discovery,,,"4340 Duncan Avenue
Suite 400
Saint Louis, MO 63110
United States",https://confluencediscovery.com,https://www.linkedin.com/company/confluence-discovery-technologies,11-50
Corza Medical,,,,,,,,
CoverCress Inc.,,AgTech,,,"10407 Baur Blvd
Suite A
St Louis, Missouri 63132, US",https://www.covercress.com,https://www.linkedin.com/company/covercress-inc,11-50
CQuesta,,Biotechnology,,,"208 North Green Street
Room 312
Chicago, IL 60607-1702
United States",https://www.cquestallc.com,https://www.linkedin.com/company/cquesta,2-10
CSL Plasma,,Biotech,,,,https://www.cslplasma.com,https://www.linkedin.com/company/csl-plasma,10001
CTC Genomics,,Agriculture: Biotechnology,,,"1005 N Warson Rd, St. Louis, MO 63132",https://www.ctc.com.br,https://www.linkedin.com/company/ctc-genomics,
Curium Pharma,,Pharmaceutical: Cancer,,,Maryland Heights,https://www.curiumpharma.com,https://www.linkedin.com/company/curium-pharma,
Danforth Technology Company,,Biotechnology Incubator,,,,https://danforthtechnology.com/,https://www.linkedin.com/company/danforthtechnology,
Daya CNS,,"Biotechnology   CNS, Pain & Addiction Therapeutics",,,"204 City Gate Lane, Saint Peters, MO 63303",dayacns.com,LinkedIn,2-10
Definitive Diagnostics ,,,,,,,,
Donald Danforth Plant Science Center,,Nonprofit Research   Plant & Agricultural Biotechnology,,,"975 N Warson Rd, Olivette, MO 63132",danforthcenter.org,LinkedIn,201-500
Edison Electrosciences,,Renewable Energy / Biotechnology,,,"1100 Corporate Square Dr, St. Louis, MO 63132.",https://edisonagrosciences.com/,LinkedIn,51-200
Elekta,,Medical Technology   Oncology / Radiotherapy,,,,elekta.com,LinkedIn,5001-10000
Elemental Enzymes,,Agricultural Biotechnology,,,"940 W Port Plaza Dr # 101, St. Louis, MO 63146",elementalenzymes.com,LinkedIn,51-200
Eli Lilly and Company,,Pharmaceutical Manufacturing,,,,lilly.com,LinkedIn,5001-10000
Elira Therapeutics,,Medical Devices / Neuromodulation,,,,eliratherapeutics.com,LinkedIn,11-50
